modelo,recall_baseline,recall_otimizado,delta_recall,specificity_baseline,specificity_otimizado,f1_baseline,f1_otimizado,accuracy_baseline,accuracy_otimizado,melhor_experimento
KNeighborsClassifier,0.9047619047619048,0.9285714285714286,0.023809523809523836,0.9861111111111112,0.9583333333333334,0.9382716049382716,0.9285714285714286,0.956140350877193,0.9473684210526315,experimento_1_exploracao
DecisionTreeClassifier,0.9047619047619048,0.8809523809523809,-0.023809523809523836,0.9444444444444444,0.9861111111111112,0.9047619047619048,0.925,0.9298245614035088,0.9473684210526315,experimento_2_equilibrio
LogisticRegression,0.9523809523809523,0.9523809523809523,0.0,0.9861111111111112,0.9861111111111112,0.963855421686747,0.963855421686747,0.9736842105263158,0.9736842105263158,experimento_1_exploracao
RandomForestClassifier,0.9285714285714286,0.8809523809523809,-0.04761904761904767,1.0,0.9861111111111112,0.9629629629629629,0.925,0.9736842105263158,0.9473684210526315,experimento_1_exploracao
